parking_id,name_hebrew,name_english,address_hebrew,address_english,geo_lat,geo_lng
1,חניון ארלוזורוב - חנה וסע,,על פרשת דרכים 1 תל-אביב יפו,,,
3,חניון בזל,,אשתורי הפרחי 5 תל-אביב יפו,,,
4,חניון חברה חדשה,,חברה חדשה 9 תל-אביב יפו,,,
7,חניון בני דן,,אוסישקין 7 תל-אביב יפו,,,
8,חניון ברוריה,,יגאל אלון 151 תל-אביב יפו,,,
10,חניון גולדה,,ברקוביץ 7 תל-אביב יפו,,,
13,חניון גן הכובשים 1 - מזרח,,לוי יוסף גונדר 5 תל-אביב יפו,,,
15,חניון דובנוב,,דובנוב 4 תל-אביב יפו,,,
16,חניון הארד,,הארד 2 תל-אביב יפו,,,
18,חניון החשמל,,לבונטין 20 תל-אביב יפו,,,
19,חניון הצפירה 1,,הצפירה 2 תל-אביב יפו,,,
20,חניון הצפירה 2,,הצפירה 8 תל-אביב יפו,,,
21,"חניון בית האצ""ל",,נחום גולדמן 13 תל-אביב יפו,,,
23,חניון פנחס רוזן,,פנחס רוזן 51 תל-אביב יפו,,,
24,חניון כרמל 1,,קלישר פינת הכרמל תל-אביב יפו,,,
25,חניון הלוחמים,,הלוחמים 15 תל-אביב יפו,,,
26,חניון לולאה,,פרשת דרכים 10 תל אביב,,,
28,חניון התחנה,,המרד פינת קויפמן יחזקאל 65 תל-אביב יפו,,,
29,חניון מונטיפיורי,,מונטיפיורי 5 תל-אביב יפו,,,
31,חניון מפעל הפיס,,ליאונרדו דוינצ'י 5 תל-אביב יפו,,,
32,חניון מרכזים,,הזרם 12 תל-אביב יפו,,,
33,חניון מרד,,המרד 32 תל-אביב יפו,,,
34,חניון נחושת,,הנחושת 1 א` תל-אביב יפו,,,
37,חניון סינרמה,,יצחק שדה 45 תל-אביב יפו,,,
38,חניון סעדיה גאון,,ציקלג 7 תל-אביב יפו,,,
39,"חניון פלמ""ח",,יגאל אלון 68 תל-אביב יפו,,,
40,חניון רבניצקי,,רבניצקי 6 תל-אביב יפו,,,
41,חניון רידינג מערב,,רוקח 7 תל-אביב יפו,,,
42,חניון שרתון,,הנמל 1 תל-אביב יפו,,,
44,חניון תקומה,,המרד 36 תל-אביב יפו,,,
45,חניון תל-נורדאו,,פרישמן 28 תל-אביב יפו,,,
46,חניון עין יעקב,,קויפמן 16 תל-אביב יפו,,,
47,חניון הנדסה,,ג`ורג` וויז תל-אביב יפו(כניסה מבניין ברודקום),,,
48,חניון מרשם,,קלצ`קין 25 תל-אביב יפו,,,
50,חניון מדעי החברה,,ג`ורג` וייז פינת חיים לבנון תל-אביב יפו (מתחם אונ` 493),,,
53,חניון רפואת שיניים,,קלצ`קין 4 תל-אביב יפו,,,
54,"חניון גלי צה""ל",,יהודה הימית 21 תל-אביב יפו,,,
56,חניון אבולעפיה,,קבוץ גלויות 36 תל-אביב יפו,,,
57,חניון הרב קוק,,הרב קוק פינת הארי תל-אביב יפו,,,
58,חניון יד אבנר,,קוממיות 24 תל-אביב יפו,,,
59,חניון לבון,,לבון תל-אביב יפו,,,
60,חניון מטודלה,,בנימין מטודלה 16 תל-אביב יפו,,,
62,חניון מי ומי,,משה סנה 54 תל-אביב יפו,,,
63,חניון מכללה למינהל ומכללת לוינסקי 1,,שושנה פרסיץ 9 תל-אביב יפו,,,
64,חניון אחימאיר,,אחימאיר אבא 28 תל-אביב יפו,,,
65,חניון סלודור,,רמת אביב תל-אביב יפו,,,
67,חניון צבי נישרי,,צבי נשרי 2 תל-אביב יפו,,,
68,חניון רפידים,,רפידים 7 תל-אביב יפו,,,
69,חניון שלונסקי,,שלונסקי 16 תל-אביב יפו,,,
70,חניון מבצע קדש,,מבצע קדש פינת בני אפרים 220 תל-אביב יפו,,,
72,חניון בית החייל,,עקיבה אריה תל-אביב יפו,,,
73,חניון אלפסי,,אלפסי יצחק 12 תל-אביב יפו,,,
74,חניון ספיר,,אליהו ספיר תל-אביב יפו,,,
75,חניון פליטי הספר,,פליטי הספר פינת דם המכבים תל-אביב יפו,,,
76,חניון טירת צבי,,יגאל אלון תל-אביב יפו,,,
77,חניון המערכה,,המערכה 10 תל-אביב יפו,,,
78,חניון וולפסון,,השלום 120 תל-אביב יפו,,,
79,חניון טאגור,,סמטת טאגור 38 תל-אביב יפו,,,
80,חניון מכללת יפו,,רבינו ירוחם 12 פינת חבר הלאומים 5 תל-אביב יפו,,,
81,חניון עיר שמש,,עיר שמש 40 תל-אביב יפו,,,
84,חניון תל ברוך,,בקר אהרון 18 תל-אביב יפו,,,
85,חניון בית צורי,,בית צורי 20 תל-אביב יפו,,,
86,חניון בן יוסף,,בן יוסף 22 תל-אביב יפו,,,
87,חניון ברזני,,ברזני משה 15 תל-אביב יפו,,,
88,חניון בן יוסף 2,,בן יוסף 15 תל-אביב יפו,,,
89,חניון וולפסון 2,,הטייסים 39 תל-אביב יפו,,,
90,חניון מכללה למינהל ומכללת לוינסקי 3,,שושנה פרסיץ 9 תל-אביב יפו,,,
91,חניון מכללה למינהל ומכללת לוינסקי 2,,שושנה פרסיץ 9 תל-אביב יפו,,,
92,חניון הרכבת,,הרכבת 20 תל-אביב יפו,,,
93,חניון בית הדר,,הרכבת 3 תל-אביב יפו,,,
94,חניון התרבות,,הוברמן 1 תל-אביב יפו,,,
95,חניון סמולרש,,ג`ורג` וייז 16 תל-אביב יפו,,,
96,חניון כלכלה,,ג`ורג` וייז 16 תל-אביב יפו,,,
98,חניון גולפיטק,,רוקח 80 תל-אביב יפו,,,
99,חניון גני יהושע,,רוקח 94 תל-אביב יפו,,,
108,חניון סוציאלית (מעונות),,שבט בנימין 1 תל-אביב יפו,,,
110,חניון אלוף,,אלוף פינת בן חיל,,,
114,חניון כרמל 2,,סמטת הכרמל 12 תל אביב,,,
116,חניון ההגנה,,החרש 4 תל-אביב יפו,,,
119,חניון לסקוב (בני ברית),,לסקוב 28 תל-אביב יפו,,,
120,חניון ליבר,,פינס 41 תל-אביב יפו,,,
121,חניון המוזיאונים,,קלאוזנר 12 תל אביב - יפו,,,
122,חניון אסותא,,ז`בוטינסקי 62 תל-אביב יפו,,,
123,חניון ארלוזורוב 17,,ארלוזורוב 17 תל-אביב יפו,,,
124,חניון גולדמן,,גולדמן נחום 2ב תל-אביב יפו,,,
126,חניון רידינג מזרח,,רוקח 15 תל-אביב יפו,,,
127,חניון צמרות,,רחוב אלכסנדר בוסקוביץ 1 תל-אביב יפו,,,
129,חניון גן הכובשים 2 - מערב,,לוי יוסף גונדר 3 תל אביב - יפו,,,
131,חניון רמז-ארלוזורוב,,רמז 1 תל-אביב יפו,,,
132,חניון כיכר עליה,,צלנוב 22 תל-אביב יפו,,,
133,חניון המשתלה,,משה וילנסקי 55 תל-אביב יפו‭,,,
134,חניון חוף תל ברוך,,"יצחק ארצי 34, תל-אביב יפו",,,
135,חניון קצה השדרה (רוטשילד 1),,שדרות רוטשילד 1 תל-אביב יפו,,,
